x,rho,u,p,e
0.0000000000,1.0000000000,0.0000000000,1.0000000000,2.5000000000
0.0050251256,1.0000000000,0.0000000000,1.0000000000,2.5000000000
0.0100502513,1.0000000000,0.0000000000,1.0000000000,2.5000000000
0.0150753769,1.0000000000,0.0000000000,1.0000000000,2.5000000000
0.0201005025,1.0000000000,0.0000000000,1.0000000000,2.5000000000
0.0251256281,1.0000000000,0.0000000000,1.0000000000,2.5000000000
0.0301507538,1.0000000000,0.0000000000,1.0000000000,2.5000000000
0.0351758794,1.0000000000,0.0000000000,1.0000000000,2.5000000000
0.0402010050,1.0000000000,0.0000000000,1.0000000000,2.5000000000
0.0452261307,1.0000000000,0.0000000000,1.0000000000,2.5000000000
0.0502512563,1.0000000000,0.0000000000,1.0000000000,2.5000000000
0.0552763819,1.0000000000,0.0000000000,1.0000000000,2.5000000000
0.0603015075,1.0000000000,0.0000000000,1.0000000000,2.5000000000
0.0653266332,1.0000000000,0.0000000000,1.0000000000,2.5000000000
0.0703517588,1.0000000000,0.0000000000,1.0000000000,2.5000000000
0.0753768844,1.0000000000,0.0000000000,1.0000000000,2.5000000000
0.0804020101,1.0000000000,0.0000000000,1.0000000000,2.5000000000
0.0854271357,1.0000000000,0.0000000000,1.0000000000,2.5000000000
0.0904522613,1.0000000000,0.0000000000,1.0000000000,2.5000000000
0.0954773869,1.0000000000,0.0000000000,1.0000000000,2.5000000000
0.1005025126,1.0000000000,0.0000000000,1.0000000000,2.5000000000
0.1055276382,1.0000000000,0.0000000000,1.0000000000,2.5000000000
0.1105527638,1.0000000000,0.0000000000,1.0000000000,2.5000000000
0.1155778894,1.0000000000,0.0000000000,1.0000000000,2.5000000000
0.1206030151,1.0000000000,0.0000000000,1.0000000000,2.5000000000
0.1256281407,1.0000000000,0.0000000000,1.0000000000,2.5000000000
0.1306532663,1.0000000000,0.0000000000,1.0000000000,2.5000000000
0.1356783920,1.0000000000,0.0000000000,1.0000000000,2.5000000000
0.1407035176,1.0000000000,0.0000000000,1.0000000000,2.5000000000
0.1457286432,1.0000000000,0.0000000000,1.0000000000,2.5000000000
0.1507537688,1.0000000000,0.0000000000,1.0000000000,2.5000000000
0.1557788945,1.0000000000,0.0000000000,1.0000000000,2.5000000000
0.1608040201,1.0000000000,0.0000000000,1.0000000000,2.5000000000
0.1658291457,1.0000000000,0.0000000000,1.0000000000,2.5000000000
0.1708542714,1.0000000000,0.0000000000,1.0000000000,2.5000000000
