x,y,u,v,p
0.0,0.0,0.0,-0.0,0.0
0.02,0.0,0.06279051952931337,-0.0,0.0
0.04,0.0,0.12533323356430426,-0.0,0.0
0.06,0.0,0.1873813145857246,-0.0,0.0
0.08,0.0,0.2486898871648548,-0.0,0.0
0.1,0.0,0.3090169943749474,-0.0,0.0
0.12,0.0,0.3681245526846779,-0.0,0.0
0.14,0.0,0.4257792915650727,-0.0,0.0
0.16,0.0,0.4817536741017153,-0.0,0.0
0.18,0.0,0.5358267949789967,-0.0,0.0
0.2,0.0,0.5877852522924731,-0.0,0.0
0.22,0.0,0.6374239897486896,-0.0,0.0
0.24,0.0,0.6845471059286886,-0.0,0.0
0.26,0.0,0.7289686274214116,-0.0,0.0
0.28,0.0,0.7705132427757893,-0.0,0.0
0.3,0.0,0.8090169943749475,-0.0,0.0
0.32,0.0,0.8443279255020151,-0.0,0.0
0.34,0.0,0.8763066800438637,-0.0,0.0
0.36,0.0,0.9048270524660196,-0.0,0.0
0.38,0.0,0.9297764858882513,-0.0,0.0
0.4,0.0,0.9510565162951535,-0.0,0.0
0.42,0.0,0.9685831611286311,-0.0,0.0
0.44,0.0,0.9822872507286886,-0.0,0.0
0.46,0.0,0.9921147013144779,-0.0,0.0
0.48,0.0,0.9980267284282716,-0.0,0.0
0.5,0.0,1.0,-0.0,0.0
0.52,0.0,0.9980267284282716,0.0,0.0
0.54,0.0,0.9921147013144778,0.0,0.0
0.56,0.0,0.9822872507286886,0.0,0.0
0.58,0.0,0.9685831611286312,0.0,0.0
0.6,0.0,0.9510565162951536,0.0,0.0
0.62,0.0,0.9297764858882513,0.0,0.0
0.64,0.0,0.9048270524660195,0.0,0.0
0.66,0.0,0.8763066800438635,0.0,0.0
0.68,0.0,0.844327925502015,0.0,0.0
0.7000000000000001,0.0,0.8090169943749475,0.0,0.0
0.72,0.0,0.7705132427757893,0.0,0.0
0.74,0.0,0.7289686274214114,0.0,0.0
0.76,0.0,0.6845471059286888,0.0,0.0
0.78,0.0,0.6374239897486899,0.0,0.0
0.8,0.0,0.5877852522924732,0.0,0.0
0.8200000000000001,0.0,0.5358267949789967,0.0,0.0
0.84,0.0,0.4817536741017156,0.0,0.0
0.86,0.0,0.4257792915650729,0.0,0.0
0.88,0.0,0.36812455268467814,0.0,0.0
0.9,0.0,0.3090169943749475,0.0,0.0
0.92,0.0,0.24868988716485482,0.0,0.0
0.9400000000000001,0.0,0.18738131458572457,0.0,0.0
0.96,0.0,0.12533323356430454,0.0,0.0
0.98,0.0,0.06279051952931358,0.0,0.0
1.0,0.0,1.2246063538223773e-16,0.0,0.0
0.0,0.02,0.0,-0.06279051952931337,0.0
0.02,0.02,0.06266661678215212,-0.06266661678215212,0.003942649342761085
0.04,0.02,0.125085917057519,-0.06229539752820563,0.007869738849791441
0.06,0.02,0.1870115603645795,-0.061678326800275275,0.011765770092923353
0.08,0.02,0.24819915448033603,-0.06081783989461139,0.015615367216767555
0.1,0.02,0.30840721992476633,-0.05971733275991158,0.019403337620189854
0.12,0.02,0.36739814297001,-0.05838114859506261,0.02311473191456702
0.14,0.02,0.4249391133931967,-0.056814560708518654,0.026734902922193913
0.16,0.02,0.48080304327203466,-0.055023751706961985,0.030249563482002226
0.18,0.02,0.5347694631970943,-0.05301578909537893,0.03364484283445808
0.2,0.02,0.5866253923638431,-0.050798597384846544,0.036907341363112925
0.22,0.02,0.6361661791105808,-0.048380926818107774,0.04002418347676794
0.24,0.02,0.6831963085850505,-0.045772318836360903,0.04298306842355027
0.26,0.02,0.727530174352239,-0.04298306842355027,0.045772318836360903
0.28,0.02,0.7689928108981795,-0.04002418347676794,0.048380926818107774
0.3,0.02,0.8074205841389022,-0.036907341363112925,0.050798597384846544
0.32,0.02,0.8426618372094055,-0.03364484283445807,0.05301578909537893
0.34,0.02,0.8745774889840174,-0.030249563482002216,0.05502375170696199
0.36,0.02,0.9030415829660575,-0.02673490292219391,0.05681456070851866
0.38,0.02,0.9279417843805865,-0.02311473191456703,0.058381148595062604
0.4,0.02,0.9491798235084412,-0.019403337620189857,0.05971733275991158
0.42,0.02,0.9666718835119211,-0.015615367216767565,0.06081783989461139
0.44,0.02,0.9803489312215544,-0.011765770092923362,0.06167832680027527
0.46,0.02,0.9901569895784802,-0.007869738849791441,0.06229539752820563
0.48,0.02,0.9960573506572389,-0.003942649342761094,0.06266661678215212
0.5,0.02,0.9980267284282716,-3.8446834587702614e-18,0.06279051952931337
0.52,0.02,0.9960573506572389,0.003942649342761086,0.06266661678215212
0.54,0.02,0.9901569895784801,0.007869738849791448,0.06229539752820562
0.56,0.02,0.9803489312215544,0.011765770092923367,0.06167832680027527
0.58,0.02,0.9666718835119212,0.015615367216767545,0.0608178398946114
0.6,0.02,0.9491798235084413,0.01940333762018985,0.05971733275991159
0.62,0.02,0.9279417843805865,0.023114731914567022,0.058381148595062604
0.64,0.02,0.9030415829660574,0.026734902922193913,0.056814560708518654
0.66,0.02,0.8745774889840172,0.030249563482002233,0.05502375170696198
0.68,0.02,0.8426618372094054,0.033644842834458094,0.05301578909537892
0.7000000000000001,0.02,0.8074205841389022,0.03690734136311292,0.050798597384846544
0.72,0.02,0.7689928108981795,0.04002418347676795,0.048380926818107774
0.74,0.02,0.7275301743522389,0.04298306842355028,0.0457723188363609
