x,y,z,u,v,w,p
0.0,0.0,0.0,0.0,0.0,-0.0,0.0
0.0,0.0,0.05,0.0,0.0,-0.31286893008046174,0.0
0.0,0.0,0.1,0.0,0.0,-0.6180339887498948,0.0
0.0,0.0,0.15000000000000002,0.0,0.0,-0.9079809994790936,0.0
0.0,0.0,0.2,0.0,0.0,-1.1755705045849463,0.0
0.0,0.0,0.25,0.0,0.0,-1.414213562373095,0.0
0.0,0.0,0.30000000000000004,0.0,0.0,-1.618033988749895,0.0
0.0,0.0,0.35000000000000003,0.0,0.0,-1.7820130483767356,0.0
0.0,0.0,0.4,0.0,0.0,-1.902113032590307,0.0
0.0,0.0,0.45,0.0,0.0,-1.9753766811902755,0.0
0.0,0.0,0.5,0.0,0.0,-2.0,0.0
0.0,0.0,0.55,-0.0,-0.0,-1.9753766811902753,0.0
0.0,0.0,0.6000000000000001,-0.0,-0.0,-1.902113032590307,0.0
0.0,0.0,0.65,-0.0,-0.0,-1.7820130483767358,0.0
0.0,0.0,0.7000000000000001,-0.0,-0.0,-1.618033988749895,0.0
0.0,0.0,0.75,-0.0,-0.0,-1.4142135623730951,0.0
0.0,0.0,0.8,-0.0,-0.0,-1.1755705045849465,0.0
0.0,0.0,0.8500000000000001,-0.0,-0.0,-0.9079809994790929,0.0
0.0,0.0,0.9,-0.0,-0.0,-0.618033988749895,0.0
0.0,0.0,0.9500000000000001,-0.0,-0.0,-0.31286893008046196,0.0
0.0,0.0,1.0,-0.0,-0.0,-2.4492127076447545e-16,0.0
0.0,0.05,0.0,0.0,0.15643446504023087,-0.0,0.0
0.0,0.05,0.05,0.0,0.15450849718747373,-0.30901699437494745,0.0
0.0,0.05,0.1,0.0,0.14877801734965795,-0.6104249647797776,0.0
0.0,0.05,0.15000000000000002,0.0,0.13938412895876287,-0.8968022466674206,0.0
0.0,0.05,0.2,0.0,0.12655814072350038,-1.1610972809260944,0.0
0.0,0.05,0.25,0.0,0.11061587104123716,-1.3968022466674206,0.0
0.0,0.05,0.30000000000000004,0.0,0.09194987150091015,-1.5981133053749155,0.0
0.0,0.05,0.35000000000000003,0.0,0.07101976096010308,-1.7600735106701009,0.0
0.0,0.05,0.4,0.0,0.048340908203384936,-1.8786948647835056,0.0
0.0,0.05,0.45,0.0,0.024471741852423224,-1.9510565162951536,0.0
0.0,0.05,0.5,0.0,9.578531992253563e-18,-1.9753766811902755,0.0
0.0,0.05,0.55,-0.0,-0.02447174185242324,-1.9510565162951534,0.0
0.0,0.05,0.6000000000000001,-0.0,-0.04834090820338496,-1.8786948647835056,0.0
0.0,0.05,0.65,-0.0,-0.07101976096010305,-1.760073510670101,0.0
0.0,0.05,0.7000000000000001,-0.0,-0.09194987150091015,-1.5981133053749155,0.0
0.0,0.05,0.75,-0.0,-0.11061587104123714,-1.3968022466674208,0.0
0.0,0.05,0.8,-0.0,-0.12655814072350036,-1.1610972809260947,0.0
0.0,0.05,0.8500000000000001,-0.0,-0.13938412895876287,-0.8968022466674199,0.0
0.0,0.05,0.9,-0.0,-0.14877801734965795,-0.6104249647797778,0.0
0.0,0.05,0.9500000000000001,-0.0,-0.1545084971874737,-0.3090169943749477,0.0
0.0,0.05,1.0,-0.0,-0.15643446504023087,-2.4190588349781716e-16,0.0
0.0,0.1,0.0,0.0,0.3090169943749474,-0.0,0.0
0.0,0.1,0.05,0.0,0.3052124823898888,-0.2975560346993159,0.0
0.0,0.1,0.1,0.0,0.2938926261462365,-0.587785252292473,0.0
0.0,0.1,0.15000000000000002,0.0,0.2753361580731583,-0.8635412462267784,0.0
0.0,0.1,0.2,0.0,0.24999999999999997,-1.118033988749895,0.0
0.0,0.1,0.25,0.0,0.21850801222441052,-1.3449970239279145,0.0
0.0,0.1,0.30000000000000004,0.0,0.18163563200134017,-1.5388417685876268,0.0
0.0,0.1,0.35000000000000003,0.0,0.1402907797042951,-1.694795121781685,0.0
0.0,0.1,0.4,0.0,0.09549150281252629,-1.8090169943749472,0.0
0.0,0.1,0.45,0.0,0.04834090820338494,-1.8786948647835056,0.0
0.0,0.1,0.5,0.0,1.892120873753272e-17,-1.902113032590307,0.0
0.0,0.1,0.55,-0.0,-0.04834090820338498,-1.8786948647835053,0.0
0.0,0.1,0.6000000000000001,-0.0,-0.09549150281252632,-1.8090169943749472,0.0
0.0,0.1,0.65,-0.0,-0.14029077970429507,-1.6947951217816852,0.0
0.0,0.1,0.7000000000000001,-0.0,-0.18163563200134017,-1.5388417685876268,0.0
0.0,0.1,0.75,-0.0,-0.2185080122244105,-1.3449970239279148,0.0
0.0,0.1,0.8,-0.0,-0.24999999999999994,-1.1180339887498951,0.0
0.0,0.1,0.8500000000000001,-0.0,-0.27533615807315837,-0.8635412462267777,0.0
0.0,0.1,0.9,-0.0,-0.2938926261462365,-0.5877852522924732,0.0
0.0,0.1,0.9500000000000001,-0.0,-0.3052124823898888,-0.29755603469931613,0.0
0.0,0.1,1.0,-0.0,-0.3090169943749474,-2.3293397053984404e-16,0.0
0.0,0.15000000000000002,0.0,0.0,0.4539904997395468,-0.0,0.0
0.0,0.15000000000000002,0.05,0.0,0.4484011233337103,-0.27876825791752574,0.0
0.0,0.15000000000000002,0.1,0.0,0.4317706231133892,-0.5506723161463166,0.0
0.0,0.15000000000000002,0.15000000000000002,0.0,0.4045084971874737,-0.8090169943749475,0.0
0.0,0.15000000000000002,0.2,0.0,0.36728602957406853,-1.0474409892285987,0.0
0.0,0.15000000000000002,0.25,0.0,0.3210197609601031,-1.2600735106701009,0.0
0.0,0.15000000000000002,0.30000000000000004,0.0,0.26684892042779546,-1.4416788403346845,0.0
0.0,0.15000000000000002,0.35000000000000003,0.0,0.20610737385376346,-1.5877852522924731,0.0
0.0,0.15000000000000002,0.4,0.0,0.14029077970429513,-1.6947951217816852,0.0
0.0,0.15000000000000002,0.45,0.0,0.0710197609601031,-1.760073510670101,0.0
0.0,0.15000000000000002,0.5,0.0,2.7797982527802265e-17,-1.7820130483767358,0.0
0.0,0.15000000000000002,0.55,-0.0,-0.07101976096010315,-1.7600735106701009,0.0
0.0,0.15000000000000002,0.6000000000000001,-0.0,-0.14029077970429515,-1.6947951217816852,0.0
0.0,0.15000000000000002,0.65,-0.0,-0.2061073738537634,-1.5877852522924734,0.0
0.0,0.15000000000000002,0.7000000000000001,-0.0,-0.26684892042779546,-1.4416788403346845,0.0
0.0,0.15000000000000002,0.75,-0.0,-0.32101976096010304,-1.260073510670101,0.0
0.0,0.15000000000000002,0.8,-0.0,-0.3672860295740685,-1.047440989228599,0.0
0.0,0.15000000000000002,0.8500000000000001,-0.0,-0.4045084971874738,-0.8090169943749469,0.0
0.0,0.15000000000000002,0.9,-0.0,-0.4317706231133892,-0.5506723161463168,0.0
0.0,0.15000000000000002,0.9500000000000001,-0.0,-0.44840112333371024,-0.2787682579175259,0.0
0.0,0.15000000000000002,1.0,-0.0,-0.4539904997395468,-2.182264501636534e-16,0.0
0.0,0.2,0.0,0.0,0.5877852522924731,-0.0,0.0
0.0,0.2,0.05,0.0,0.5805486404630472,-0.25311628144700077,0.0
0.0,0.2,0.1,0.0,0.5590169943749475,-0.49999999999999994,0.0
0.0,0.2,0.15000000000000002,0.0,0.5237204946142994,-0.7345720591481371,0.0
0.0,0.2,0.2,0.0,0.4755282581475768,-0.9510565162951536,0.0
0.0,0.2,0.25,0.0,0.41562693777745346,-1.1441228056353685,0.0
0.0,0.2,0.30000000000000004,0.0,0.3454915028125262,-1.3090169943749475,0.0
0.0,0.2,0.35000000000000003,0.0,0.26684892042779546,-1.4416788403346845,0.0
0.0,0.2,0.4,0.0,0.18163563200134025,-1.5388417685876268,0.0
0.0,0.2,0.45,0.0,0.0919498715009102,-1.5981133053749155,0.0
0.0,0.2,0.5,0.0,3.599027773202258e-17,-1.618033988749895,0.0
0.0,0.2,0.55,-0.0,-0.09194987150091027,-1.5981133053749152,0.0
0.0,0.2,0.6000000000000001,-0.0,-0.1816356320013403,-1.5388417685876268,0.0
0.0,0.2,0.65,-0.0,-0.2668489204277954,-1.4416788403346845,0.0
0.0,0.2,0.7000000000000001,-0.0,-0.3454915028125262,-1.3090169943749475,0.0
0.0,0.2,0.75,-0.0,-0.4156269377774534,-1.1441228056353687,0.0
0.0,0.2,0.8,-0.0,-0.47552825814757677,-0.9510565162951538,0.0
0.0,0.2,0.8500000000000001,-0.0,-0.5237204946142995,-0.7345720591481365,0.0
0.0,0.2,0.9,-0.0,-0.5590169943749475,-0.5000000000000001,0.0
0.0,0.2,0.9500000000000001,-0.0,-0.5805486404630471,-0.25311628144700093,0.0
0.0,0.2,1.0,-0.0,-0.5877852522924731,-1.9814547033236862e-16,0.0
0.0,0.25,0.0,0.0,0.7071067811865475,-0.0,0.0
0.0,0.25,0.05,0.0,0.6984011233337103,-0.22123174208247431,0.0
0.0,0.25,0.1,0.0,0.6724985119639573,-0.43701602444882104,0.0
0.0,0.25,0.15000000000000002,0.0,0.6300367553350504,-0.6420395219202062,0.0
0.0,0.25,0.2,0.0,0.5720614028176843,-0.8312538755549069,0.0
0.0,0.25,0.25,0.0,0.5,-1.0,0.0
0.0,0.25,0.30000000000000004,0.0,0.4156269377774533,-1.1441228056353687,0.0
0.0,0.25,0.35000000000000003,0.0,0.32101976096010304,-1.2600735106701009,0.0
0.0,0.25,0.4,0.0,0.21850801222441055,-1.3449970239279148,0.0
0.0,0.25,0.45,0.0,0.11061587104123717,-1.3968022466674208,0.0
0.0,0.25,0.5,0.0,4.329637285359677e-17,-1.4142135623730951,0.0
0.0,0.25,0.55,-0.0,-0.11061587104123725,-1.3968022466674206,0.0
0.0,0.25,0.6000000000000001,-0.0,-0.2185080122244106,-1.3449970239279148,0.0
0.0,0.25,0.65,-0.0,-0.321019760960103,-1.260073510670101,0.0
0.0,0.25,0.7000000000000001,-0.0,-0.4156269377774533,-1.1441228056353687,0.0
0.0,0.25,0.75,-0.0,-0.4999999999999999,-1.0000000000000002,0.0
0.0,0.25,0.8,-0.0,-0.5720614028176841,-0.831253875554907,0.0
0.0,0.25,0.8500000000000001,-0.0,-0.6300367553350505,-0.6420395219202057,0.0
0.0,0.25,0.9,-0.0,-0.6724985119639573,-0.4370160244488212,0.0
0.0,0.25,0.9500000000000001,-0.0,-0.6984011233337102,-0.22123174208247448,0.0
0.0,0.25,1.0,-0.0,-0.7071067811865475,-1.731854914143871e-16,0.0
0.0,0.30000000000000004,0.0,0.0,0.8090169943749475,-0.0,0.0
0.0,0.30000000000000004,0.05,0.0,0.7990566526874577,-0.1838997430018203,0.0
