x,y,T,u,v
0.5,0.0,1.0,0.0,0.0
0.5,0.02,0.986,0.0,27.1
0.5,0.04,0.964,0.0,45.7
0.5,0.06,0.938,0.0,58.0
0.5,0.08,0.91,0.0,65.3
0.5,0.1,0.882,0.0,68.8
0.5,0.14,0.824,0.0,64.4
0.5,0.18,0.764,0.0,55.7
0.5,0.22,0.701,0.0,46.3
0.5,0.26,0.635,0.0,37.3
0.5,0.3,0.567,0.0,29.0
0.5,0.4,0.424,0.0,6.0
0.5,0.5,0.277,0.0,0.0
0.5,0.6,0.137,0.0,-6.0
0.5,0.7,0.041,0.0,-29.0
0.5,0.74,0.027,0.0,-37.3
0.5,0.78,0.016,0.0,-46.3
0.5,0.82,0.007,0.0,-55.7
0.5,0.86,0.003,0.0,-64.4
0.5,0.9,0.002,0.0,-68.8
0.5,0.94,0.001,0.0,-65.3
0.5,0.98,0.001,0.0,-45.7
0.5,1.0,0.001,0.0,-27.1
