y,u,v,w
2.77556e-18,1.3171e-18,-1.57626e-30,0
0.01,0.00474536,-5.67909e-15,0
0.02,0.00949073,-1.13582e-14,0
0.03,0.0142361,-1.70373e-14,0
0.04,0.0189815,-2.27163e-14,0
0.05,0.0237268,-2.83954e-14,0
0.06,0.0279723,-3.03579e-14,0
0.07,0.0322178,-3.23204e-14,0
0.08,0.0364633,-3.42829e-14,0
0.09,0.0407088,-3.62453e-14,0
0.1,0.0449543,-3.82078e-14,0
0.11,0.0487,-3.68609e-14,0
0.12,0.0524457,-3.5514e-14,0
0.13,0.0561914,-3.41671e-14,0
0.14,0.0599371,-3.28202e-14,0
0.15,0.0636829,-3.14733e-14,0
0.16,0.0669289,-2.71419e-14,0
0.17,0.070175,-2.28105e-14,0
0.18,0.073421,-1.84791e-14,0
0.19,0.0766671,-1.41477e-14,0
0.2,0.0799131,-9.81624e-15,0
0.21,0.0826596,-5.33288e-15,0
0.22,0.0854061,-8.49521e-16,0
0.23,0.0881525,3.63384e-15,0
0.24,0.090899,8.1172e-15,0
0.25,0.0936455,1.26006e-14,0
0.26,0.0958925,1.52298e-14,0
0.27,0.0981395,1.78591e-14,0
0.28,0.100386,2.04883e-14,0
0.29,0.102633,2.31176e-14,0
0.3,0.10488,2.57469e-14,0
0.31,0.106628,2.58581e-14,0
0.32,0.108376,2.59693e-14,0
0.33,0.110123,2.60805e-14,0
0.34,0.111871,2.61917e-14,0
0.35,0.113618,2.63029e-14,0
0.36,0.114867,2.38327e-14,0
0.37,0.116115,2.13625e-14,0
0.38,0.117363,1.88923e-14,0
0.39,0.118611,1.64222e-14,0
0.4,0.119859,1.3952e-14,0
0.41,0.120608,9.25801e-15,0
0.42,0.121357,4.56404e-15,0
0.43,0.122106,-1.29925e-16,0
0.44,0.122855,-4.82389e-15,0
0.45,0.123604,-9.51786e-15,0
0.46,0.123854,-1.55851e-14,0
0.47,0.124103,-2.16523e-14,0
0.48,0.124353,-2.77195e-14,0
0.49,0.124603,-3.37868e-14,0
0.5,0.124852,-3.9854e-14,0
0.51,0.124603,-4.66556e-14,0
0.52,0.124353,-5.34572e-14,0
0.53,0.124103,-6.02587e-14,0
0.54,0.123854,-6.70603e-14,0
0.55,0.123604,-7.38619e-14,0
0.56,0.122855,-8.08982e-14,0
0.57,0.122106,-8.79345e-14,0
0.58,0.121357,-9.49707e-14,0
0.59,0.120608,-1.02007e-13,0
0.6,0.11986,-1.09043e-13,0
0.61,0.118611,-1.15448e-13,0
0.62,0.117363,-1.21852e-13,0
0.63,0.116115,-1.28256e-13,0
0.64,0.114867,-1.3466e-13,0
0.65,0.113618,-1.41065e-13,0
0.66,0.111871,-1.46453e-13,0
0.67,0.110123,-1.51841e-13,0
0.68,0.108376,-1.57229e-13,0
0.69,0.106628,-1.62617e-13,0
0.7,0.104881,-1.68005e-13,0
0.71,0.102634,-1.71657e-13,0
0.72,0.100387,-1.75308e-13,0
0.73,0.0981395,-1.7896e-13,0
0.74,0.0958926,-1.82612e-13,0
0.75,0.0936456,-1.86263e-13,0
0.76,0.0908991,-1.85842e-13,0
0.77,0.0881526,-1.85422e-13,0
0.78,0.0854061,-1.85001e-13,0
0.79,0.0826597,-1.8458e-13,0
0.8,0.0799132,-1.8416e-13,0
0.81,0.0766671,-1.81471e-13,0
0.82,0.0734211,-1.78782e-13,0
0.83,0.070175,-1.76093e-13,0
0.84,0.066929,-1.73405e-13,0
0.85,0.0636829,-1.70716e-13,0
0.86,0.0599372,-1.68823e-13,0
0.87,0.0561915,-1.66931e-13,0
0.88,0.0524458,-1.65038e-13,0
0.89,0.0487,-1.63146e-13,0
0.9,0.0449543,-1.61253e-13,0
0.91,0.0407088,-1.50933e-13,0
0.92,0.0364633,-1.40612e-13,0
0.93,0.0322178,-1.30292e-13,0
0.94,0.0279723,-1.19971e-13,0
0.95,0.0237268,-1.09651e-13,0
0.96,0.0189815,-8.77205e-14,0
0.97,0.0142361,-6.57904e-14,0
0.98,0.00949074,-4.38603e-14,0
0.99,0.00474537,-2.19301e-14,0
1,0,0,0
