x,y,z,u,v,w,p
4.0,-0.5,-0.5,0.0,0,0,0
4.0,-0.4666666666666667,-0.5,0.0,0,0,0
4.0,-0.43333333333333335,-0.5,0.0,0,0,0
4.0,-0.4,-0.5,0.0,0,0,0
4.0,-0.3666666666666667,-0.5,0.0,0,0,0
4.0,-0.33333333333333337,-0.5,0.0,0,0,0
4.0,-0.3,-0.5,0.0,0,0,0
4.0,-0.26666666666666666,-0.5,0.0,0,0,0
4.0,-0.23333333333333334,-0.5,0.0,0,0,0
4.0,-0.2,-0.5,0.0,0,0,0
4.0,-0.16666666666666669,-0.5,0.0,0,0,0
4.0,-0.13333333333333336,-0.5,0.0,0,0,0
4.0,-0.09999999999999998,-0.5,0.0,0,0,0
4.0,-0.06666666666666665,-0.5,0.0,0,0,0
4.0,-0.033333333333333326,-0.5,0.0,0,0,0
4.0,0.0,-0.5,0.0,0,0,0
4.0,0.033333333333333326,-0.5,0.0,0,0,0
4.0,0.06666666666666665,-0.5,0.0,0,0,0
4.0,0.09999999999999998,-0.5,0.0,0,0,0
4.0,0.1333333333333333,-0.5,0.0,0,0,0
4.0,0.16666666666666663,-0.5,0.0,0,0,0
4.0,0.19999999999999996,-0.5,0.0,0,0,0
4.0,0.23333333333333328,-0.5,0.0,0,0,0
4.0,0.2666666666666666,-0.5,0.0,0,0,0
4.0,0.30000000000000004,-0.5,0.0,0,0,0
4.0,0.33333333333333337,-0.5,0.0,0,0,0
4.0,0.3666666666666667,-0.5,0.0,0,0,0
4.0,0.4,-0.5,0.0,0,0,0
4.0,0.43333333333333335,-0.5,0.0,0,0,0
4.0,0.4666666666666667,-0.5,0.0,0,0,0
4.0,0.5,-0.5,0.0,0,0,0
4.0,-0.5,-0.4666666666666667,0.0,0,0,0
4.0,-0.4666666666666667,-0.4666666666666667,0.0005572320057929033,0,0,0
4.0,-0.43333333333333335,-0.4666666666666667,0.0009689412173137578,0,0,0
4.0,-0.4,-0.4666666666666667,0.0012956895609952702,0,0,0
4.0,-0.3666666666666667,-0.4666666666666667,0.0015643380297562907,0,0,0
4.0,-0.33333333333333337,-0.4666666666666667,0.0017891955959036356,0,0,0
4.0,-0.3,-0.4666666666666667,0.0019789964161050417,0,0,0
4.0,-0.26666666666666666,-0.4666666666666667,0.0021394388663896176,0,0,0
4.0,-0.23333333333333334,-0.4666666666666667,0.0022744000210072504,0,0,0
4.0,-0.2,-0.4666666666666667,0.0023866752259163303,0,0,0
4.0,-0.16666666666666669,-0.4666666666666667,0.002478439017923879,0,0,0
4.0,-0.13333333333333336,-0.4666666666666667,0.0025514582847335505,0,0,0
4.0,-0.09999999999999998,-0.4666666666666667,0.0026071167789957677,0,0,0
4.0,-0.06666666666666665,-0.4666666666666667,0.002646373277088661,0,0,0
4.0,-0.033333333333333326,-0.4666666666666667,0.002669773606488128,0,0,0
4.0,0.0,-0.4666666666666667,0.002677554106776608,0,0,0
4.0,0.033333333333333326,-0.4666666666666667,0.0026697736064881282,0,0,0
4.0,0.06666666666666665,-0.4666666666666667,0.0026463732770886615,0,0,0
4.0,0.09999999999999998,-0.4666666666666667,0.002607116778995768,0,0,0
4.0,0.1333333333333333,-0.4666666666666667,0.0025514582847335505,0,0,0
4.0,0.16666666666666663,-0.4666666666666667,0.0024784390179238796,0,0,0
4.0,0.19999999999999996,-0.4666666666666667,0.00238667522591633,0,0,0
4.0,0.23333333333333328,-0.4666666666666667,0.002274400021007251,0,0,0
4.0,0.2666666666666666,-0.4666666666666667,0.002139438866389618,0,0,0
4.0,0.30000000000000004,-0.4666666666666667,0.0019789964161050426,0,0,0
4.0,0.33333333333333337,-0.4666666666666667,0.0017891955959036358,0,0,0
4.0,0.3666666666666667,-0.4666666666666667,0.0015643380297562905,0,0,0
4.0,0.4,-0.4666666666666667,0.0012956895609952707,0,0,0
4.0,0.43333333333333335,-0.4666666666666667,0.0009689412173137577,0,0,0
4.0,0.4666666666666667,-0.4666666666666667,0.0005572320057929045,0,0,0
4.0,0.5,-0.4666666666666667,7.840308440216644e-19,0,0,0
4.0,-0.5,-0.43333333333333335,0.0,0,0,0
4.0,-0.4666666666666667,-0.43333333333333335,0.0009689412173137578,0,0,0
4.0,-0.43333333333333335,-0.43333333333333335,0.0017400086556488346,0,0,0
4.0,-0.4,-0.43333333333333335,0.002369835826412902,0,0,0
4.0,-0.3666666666666667,-0.43333333333333335,0.0028943168895654474,0,0,0
4.0,-0.33333333333333337,-0.43333333333333335,0.0033361189419154748,0,0,0
4.0,-0.3,-0.43333333333333335,0.003710261829785584,0,0,0
4.0,-0.26666666666666666,-0.43333333333333335,0.004027085091605875,0,0,0
4.0,-0.23333333333333334,-0.43333333333333335,0.004293935657054325,0,0,0
4.0,-0.2,-0.43333333333333335,0.00451624362973878,0,0,0
4.0,-0.16666666666666669,-0.43333333333333335,0.004698205975618925,0,0,0
4.0,-0.13333333333333336,-0.43333333333333335,0.004843143813618377,0,0,0
4.0,-0.09999999999999998,-0.43333333333333335,0.004953618867111447,0,0,0
4.0,-0.06666666666666665,-0.43333333333333335,0.005031451121459694,0,0,0
4.0,-0.033333333333333326,-0.43333333333333335,0.005077771660768435,0,0,0
4.0,0.0,-0.43333333333333335,0.005093155355301231,0,0,0
4.0,0.033333333333333326,-0.43333333333333335,0.005077771660768435,0,0,0
4.0,0.06666666666666665,-0.43333333333333335,0.005031451121459694,0,0,0
4.0,0.09999999999999998,-0.43333333333333335,0.0049536188671114485,0,0,0
4.0,0.1333333333333333,-0.43333333333333335,0.004843143813618379,0,0,0
4.0,0.16666666666666663,-0.43333333333333335,0.004698205975618925,0,0,0
4.0,0.19999999999999996,-0.43333333333333335,0.00451624362973878,0,0,0
4.0,0.23333333333333328,-0.43333333333333335,0.0042939356570543255,0,0,0
4.0,0.2666666666666666,-0.43333333333333335,0.004027085091605875,0,0,0
4.0,0.30000000000000004,-0.43333333333333335,0.0037102618297855847,0,0,0
4.0,0.33333333333333337,-0.43333333333333335,0.003336118941915475,0,0,0
4.0,0.3666666666666667,-0.43333333333333335,0.0028943168895654474,0,0,0
4.0,0.4,-0.43333333333333335,0.0023698358264129036,0,0,0
4.0,0.43333333333333335,-0.43333333333333335,0.0017400086556488357,0,0,0
4.0,0.4666666666666667,-0.43333333333333335,0.0009689412173137598,0,0,0
4.0,0.5,-0.43333333333333335,1.2939116504268062e-18,0,0,0
4.0,-0.5,-0.4,0.0,0,0,0
4.0,-0.4666666666666667,-0.4,0.0012956895609952696,0,0,0
4.0,-0.43333333333333335,-0.4,0.002369835826412901,0,0,0
4.0,-0.4,-0.4,0.003268670642779868,0,0,0
4.0,-0.3666666666666667,-0.4,0.004027521303634944,0,0,0
4.0,-0.33333333333333337,-0.4,0.0046719264185751995,0,0,0
4.0,-0.3,-0.4,0.005220329767330118,0,0,0
4.0,-0.26666666666666666,-0.4,0.005686172326046108,0,0,0
4.0,-0.23333333333333334,-0.4,0.0060793994286508215,0,0,0
4.0,-0.2,-0.4,0.006407556131918781,0,0,0
4.0,-0.16666666666666669,-0.4,0.006676534944926424,0,0,0
4.0,-0.13333333333333336,-0.4,0.006890996408267422,0,0,0
4.0,-0.09999999999999998,-0.4,0.007054537048680694,0,0,0
4.0,-0.06666666666666665,-0.4,0.007169745853422785,0,0,0
4.0,-0.033333333333333326,-0.4,0.007238284884093078,0,0,0
4.0,0.0,-0.4,0.007261040516426677,0,0,0
4.0,0.033333333333333326,-0.4,0.007238284884093079,0,0,0
4.0,0.06666666666666665,-0.4,0.0071697458534227855,0,0,0
4.0,0.09999999999999998,-0.4,0.0070545370486806945,0,0,0
4.0,0.1333333333333333,-0.4,0.006890996408267423,0,0,0
4.0,0.16666666666666663,-0.4,0.006676534944926424,0,0,0
4.0,0.19999999999999996,-0.4,0.0064075561319187815,0,0,0
4.0,0.23333333333333328,-0.4,0.006079399428650822,0,0,0
4.0,0.2666666666666666,-0.4,0.00568617232604611,0,0,0
4.0,0.30000000000000004,-0.4,0.005220329767330119,0,0,0
4.0,0.33333333333333337,-0.4,0.0046719264185751995,0,0,0
4.0,0.3666666666666667,-0.4,0.004027521303634944,0,0,0
4.0,0.4,-0.4,0.0032686706427798706,0,0,0
4.0,0.43333333333333335,-0.4,0.0023698358264129015,0,0,0
4.0,0.4666666666666667,-0.4,0.0012956895609952726,0,0,0
4.0,0.5,-0.4,1.6856065844310774e-18,0,0,0
4.0,-0.5,-0.3666666666666667,0.0,0,0,0
4.0,-0.4666666666666667,-0.3666666666666667,0.001564338029756291,0,0,0
4.0,-0.43333333333333335,-0.3666666666666667,0.0028943168895654474,0,0,0
4.0,-0.4,-0.3666666666666667,0.004027521303634946,0,0,0
4.0,-0.3666666666666667,-0.3666666666666667,0.004995992975527375,0,0,0
4.0,-0.33333333333333337,-0.3666666666666667,0.005825118655537429,0,0,0
4.0,-0.3,-0.3666666666666667,0.0065345792126946314,0,0,0
4.0,-0.26666666666666666,-0.3666666666666667,0.007139490194254138,0,0,0
4.0,-0.23333333333333334,-0.3666666666666667,0.007651480886554081,0,0,0
4.0,-0.2,-0.3666666666666667,0.008079618672620427,0,0,0
4.0,-0.16666666666666669,-0.3666666666666667,0.008431099409557049,0,0,0
4.0,-0.13333333333333336,-0.3666666666666667,0.008711658558677038,0,0,0
4.0,-0.09999999999999998,-0.3666666666666667,0.0089257482680013,0,0,0
4.0,-0.06666666666666665,-0.3666666666666667,0.009076607784181305,0,0,0
4.0,-0.033333333333333326,-0.3666666666666667,0.00916635619453536,0,0,0
4.0,0.0,-0.3666666666666667,0.00919615155335604,0,0,0
4.0,0.033333333333333326,-0.3666666666666667,0.00916635619453536,0,0,0
4.0,0.06666666666666665,-0.3666666666666667,0.009076607784181305,0,0,0
4.0,0.09999999999999998,-0.3666666666666667,0.008925748268001302,0,0,0
4.0,0.1333333333333333,-0.3666666666666667,0.008711658558677036,0,0,0
4.0,0.16666666666666663,-0.3666666666666667,0.00843109940955705,0,0,0
4.0,0.19999999999999996,-0.3666666666666667,0.008079618672620425,0,0,0
4.0,0.23333333333333328,-0.3666666666666667,0.007651480886554083,0,0,0
4.0,0.2666666666666666,-0.3666666666666667,0.007139490194254139,0,0,0
4.0,0.30000000000000004,-0.3666666666666667,0.006534579212694632,0,0,0
