y,u,v
0.0,0.0,0.0
0.01,5.000000000000577e-05,0.0
0.02,5.000000000000577e-05,0.0
0.03,5.000000000000577e-05,0.0
0.04,5.000000000000577e-05,0.0
0.05,5.000000000000577e-05,0.0
0.06,5.000000000000577e-05,0.0
0.07,5.000000000000577e-05,0.0
0.08,5.000000000000577e-05,0.0
0.09,5.000000000000577e-05,0.0
0.1,5.000000000000577e-05,0.0
0.11,5.000000000000577e-05,0.0
0.12,5.000000000000577e-05,0.0
0.13,5.000000000000577e-05,0.0
0.14,5.000000000000577e-05,0.0
0.15,5.000000000000577e-05,0.0
0.16,5.000000000000577e-05,0.0
0.17,5.000000000000577e-05,0.0
0.18,5.000000000000577e-05,0.0
0.19,5.000000000000577e-05,0.0
0.2,5.000000000000577e-05,0.0
0.21,5.000000000000577e-05,0.0
0.22,5.000000000000577e-05,0.0
0.23,5.000000000000577e-05,0.0
0.24,5.000000000000577e-05,0.0
0.25,5.000000000000577e-05,0.0
0.26,5.000000000000577e-05,0.0
0.27,5.000000000000577e-05,0.0
0.28,5.000000000000577e-05,0.0
0.29,5.000000000000577e-05,0.0
0.3,5.000000000000577e-05,0.0
0.31,5.000000000000577e-05,0.0
0.32,5.000000000000577e-05,0.0
0.33,5.000000000000577e-05,0.0
0.34,5.000000000000577e-05,0.0
0.35000000000000003,5.000000000000577e-05,0.0
0.36,5.000000000000577e-05,0.0
0.37,5.000000000000577e-05,0.0
0.38,5.000000000000577e-05,0.0
0.39,5.000000000000577e-05,0.0
0.4,5.000000000000577e-05,0.0
0.41000000000000003,5.000000000000577e-05,0.0
0.42,5.000000000000577e-05,0.0
0.43,5.000000000000577e-05,0.0
0.44,5.000000000000577e-05,0.0
0.45,5.000000000000577e-05,0.0
0.46,5.000000000000577e-05,0.0
0.47000000000000003,5.000000000000577e-05,0.0
0.48,5.000000000000577e-05,0.0
0.49,5.000000000000577e-05,0.0
0.5,5.000000000000577e-05,0.0
0.51,5.000000000000577e-05,0.0
0.52,5.000000000000577e-05,0.0
0.53,5.000000000000577e-05,0.0
0.54,5.000000000000577e-05,0.0
0.55,5.000000000000577e-05,0.0
0.56,5.000000000000577e-05,0.0
0.5700000000000001,5.000000000000577e-05,0.0
0.58,5.000000000000577e-05,0.0
0.59,5.000000000000577e-05,0.0
0.6,5.000000000000577e-05,0.0
0.61,5.000000000000577e-05,0.0
0.62,5.000000000000577e-05,0.0
0.63,5.000000000000577e-05,0.0
0.64,5.000000000000577e-05,0.0
0.65,5.000000000000577e-05,0.0
0.66,5.000000000000577e-05,0.0
0.67,5.000000000000577e-05,0.0
0.68,5.000000000000577e-05,0.0
0.6900000000000001,5.000000000000577e-05,0.0
0.7000000000000001,5.000000000000577e-05,0.0
0.71,5.000000000000577e-05,0.0
0.72,5.000000000000577e-05,0.0
0.73,5.000000000000577e-05,0.0
0.74,5.000000000000577e-05,0.0
0.75,5.000000000000577e-05,0.0
0.76,5.000000000000577e-05,0.0
0.77,5.000000000000577e-05,0.0
0.78,5.000000000000577e-05,0.0
0.79,5.000000000000577e-05,0.0
0.8,5.000000000000577e-05,0.0
0.81,5.000000000000577e-05,0.0
0.8200000000000001,5.000000000000577e-05,0.0
0.8300000000000001,5.000000000000577e-05,0.0
0.84,5.000000000000577e-05,0.0
0.85,5.000000000000577e-05,0.0
0.86,5.000000000000577e-05,0.0
0.87,5.000000000000577e-05,0.0
0.88,5.000000000000577e-05,0.0
0.89,5.000000000000577e-05,0.0
0.9,5.000000000000577e-05,0.0
0.91,5.000000000000577e-05,0.0
0.92,5.000000000000577e-05,0.0
0.93,5.000000000000577e-05,0.0
0.9400000000000001,5.000000000000577e-05,0.0
0.9500000000000001,5.000000000000577e-05,0.0
0.96,5.000000000000577e-05,0.0
0.97,5.000000000000577e-05,0.0
0.98,5.000000000000577e-05,0.0
0.99,5.000000000000577e-05,0.0
1.0,0.0,0.0
