x,y,S_u,S_v,S_p
0.0,0.0,0.0,0.0,0.0
0.02,0.0,0.3208165004867756,0.19726223486837732,0.0
0.04,0.0,0.6380390479873947,0.3937459658162719,0.0
0.06,0.0,0.9481245845835419,0.5886757613225103,0.0
0.08,0.0,1.2476310626726532,0.7812823225391824,0.0
0.1,0.0,1.5332660127841056,0.9708055193627332,0.0
0.12,0.0,1.8019328205760108,1.156497390320213,0.0
0.14,0.0,2.0507740054837043,1.337625094431499,0.0
0.16,0.0,2.277210840419972,1.5134738033978403,0.0
0.18,0.0,2.4789787091875386,1.68334952270258,0.0
0.2,0.0,2.6541576649550205,1.8465818304904567,0.0
0.22,0.0,2.8011977282188028,2.002526523416379,0.0
0.24,0.0,2.9189385449436105,2.1505681590217223,0.0
0.26,0.0,3.0066231137491437,2.2901224846045416,0.0
0.28,0.0,3.063905383701594,2.4206387429980682,0.0
0.3,0.0,3.090851620018591,2.5416018461576297,0.0
0.32,0.0,3.0879355322977435,2.6525344079778406,0.0
0.34,0.0,3.0560272572019045,2.7529986283174637,0.0
0.36,0.0,2.996376383347702,2.8425980207965535,0.0
0.38,0.0,2.910589298941278,2.9209789775470645,0.0
0.4,0.0,2.8006012310275006,2.9878321647415556,0.0
0.42,0.0,2.6686434276781568,3.042893743392486,0.0
0.44,0.0,2.517206009745273,3.0859464106041634,0.0
0.46,0.0,2.3489970857653564,3.1168202571679955,0.0
0.48,0.0,2.1668987811682334,3.1353934381165134,0.0
0.5,0.0,1.9739208802178718,3.141592653589793,0.0
0.52,0.0,1.773152815351961,3.1353934381165134,0.0
0.54,0.0,1.5677147632261734,3.116820257167995,0.0
0.56,0.0,1.360708619425059,3.0859464106041634,0.0
0.58,0.0,1.1551696242803167,3.0428937433924865,0.0
0.6,0.0,0.954019400537044,2.987832164741556,0.0
0.62,0.0,0.7600211399195556,2.9209789775470645,0.0
0.64,0.0,0.5757376403496333,2.842598020796553,0.0
0.66,0.0,0.4034928492240635,2.752998628317463,0.0
0.68,0.0,0.2453375115011902,2.65253440797784,0.0
0.7000000000000001,0.0,0.10301945527703538,2.5416018461576297,0.0
0.72,0.0,-0.02204102690256904,2.4206387429980682,0.0
0.74,0.0,-0.12877032436737013,2.290122484604541,0.0
0.76,0.0,-0.21645489317290267,2.1505681590217227,0.0
0.78,0.0,-0.28474868238536044,2.0025265234163796,0.0
0.8,0.0,-0.33367449978653574,1.846581830490457,0.0
0.8200000000000001,0.0,-0.3636193116090145,1.68334952270258,0.0
0.84,0.0,-0.37532356755786866,1.5134738033978412,0.0
0.86,0.0,-0.369864737514364,1.3376250944314996,0.0
0.88,0.0,-0.3486353384457115,1.1564973903202136,0.0
0.9,0.0,-0.3133158177063511,0.9708055193627335,0.0
0.92,0.0,-0.26584274072518665,0.7812823225391825,0.0
0.9400000000000001,0.0,-0.208372805736671,0.5886757613225103,0.0
0.96,0.0,-0.1432432745517879,0.3937459658162728,0.0
0.98,0.0,-0.07292946532949646,0.197262234868378,0.0
1.0,0.0,-1.4299382728502977e-16,3.847214324707763e-16,0.0
0.0,0.02,0.19726223486837732,0.07292946532949622,0.0
0.02,0.02,0.5174449091751736,0.2700470224573701,0.0
0.04,0.02,0.8332576279976953,0.466875795081182,0.0
0.06,0.02,1.1411628973673302,0.6626389899578979,0.0
0.08,0.02,1.4377272742001876,0.8565640191930368,0.0
0.1,0.02,1.719669900155185,1.0478855492921253,0.0
0.12,0.02,1.9839087328070175,1.2358485215823556,0.0
0.14,0.02,2.2276037667859483,1.4197111320842117,0.0
0.16,0.02,2.448196584511427,1.5987477590728796,0.0
0.18,0.02,2.643445633452232,1.772251826775689,0.0
0.2,0.02,2.811456693580669,1.939538593903886,0.0
0.22,0.02,2.950708073802512,2.0999478560136695,0.0
0.24,0.02,3.0600701584561416,2.2528465510315137,0.0
0.26,0.02,3.138819013188863,2.397631257660952,0.0
0.28,0.02,3.1866438522479754,2.533730576810758,0.0
0.3,0.02,3.203648265010154,2.6606073866461126,0.0
0.32,0.02,3.1903451969085914,2.7777609623630966,0.0
0.34,0.02,3.147645777272344,2.884728952320733,0.0
0.36,0.02,3.076842182435535,2.9810892027316838,0.0
0.38,0.02,2.9795848152988325,3.0664614237103884,0.0
0.4,0.02,2.8578541708727654,3.140508690103501,0.0
0.42,0.02,2.7139278398139437,3.2029387711795483,0.0
0.44,0.02,2.5503431772853618,3.253505283930112,0.0
0.46,0.02,2.3698562314483977,3.29200866543101,0.0
0.48,0.02,2.1753975834758537,3.318296960425976,0.0
0.5,0.02,1.970025798260097,3.3322664210246495,0.0
0.52,0.02,1.7568792212377833,3.3338619161480834,0.0
0.54,0.02,1.5391268813968648,3.3230771491059397,0.0
0.56,0.02,1.3199192731896385,3.299954682446641,0.0
0.58,0.02,1.1023397905534962,3.264585769982443,0.0
0.6,0.02,0.8893575745368878,3.2171099966523213,0.0
0.62,0.02,0.6837825123321075,3.157714727643993,0.0
0.64,0.02,0.4882230902078655,3.0866343689491162,0.0
0.66,0.02,0.3050477564757901,3.004149442269932,0.0
0.68,0.02,0.13635039395220439,2.9105854779282674,0.0
0.7000000000000001,0.02,-0.016079564711174,2.8063117301460676,0.0
0.72,0.02,-0.15078191990927592,2.691739719767685,0.0
0.74,0.02,-0.26664500890399667,2.5673216101751097,0.0
0.76,0.02,-0.36291924084853333,2.433548422805679,0.0
0.78,0.02,-0.4392246653329164,2.2909480993147815,0.0
0.8,0.02,-0.49555247187468576,2.1400834180313457,0.0
0.8200000000000001,0.02,-0.5322604144369378,1.9815497729288798,0.0
0.84,0.02,-0.5500622517374946,1.8159728238774724,0.0
0.86,0.02,-0.5500113892897467,1.6440060274501143,0.0
0.88,0.02,-0.5334790012834703,1.4663280580281488,0.0
0.9,0.02,-0.5021269981163019,1.283640129383542,0.0
0.92,0.02,-0.457876287237875,1.0966632273084786,0.0
0.9400000000000001,0.02,-0.4028708496757934,0.9061352642138278,0.0
0.96,0.02,-0.3394382209956204,0.7128081669259785,0.0
0.98,0.02,-0.27004702245737033,0.5174449091751743,0.0
1.0,0.02,-0.19726223486837746,0.320816500486776,0.0
0.0,0.04,0.3937459658162719,0.1432432745517877,0.0
0.02,0.04,0.7128081669259778,0.33943822099562015,0.0
0.04,0.04,1.0267294030260492,0.5358352420523158,0.0
0.06,0.04,1.331979644966043,0.7316592484050277,0.0
0.08,0.04,1.6251359278423672,0.9261374121641606,0.0
0.1,0.04,1.9029308435037753,1.1185022168659784,0.0
0.12,0.04,2.1622987186425826,1.3079944865094433,0.0
0.14,0.04,2.400418771333028,1.4938663816770557,0.0
0.16,0.04,2.614754585898739,1.67538435091538,0.0
0.18,0.04,2.8030893033414124,1.8518320257275045,0.0
0.2,0.04,2.9635559913409217,2.0225130477522213,0.0
0.22,0.04,3.094662732993137,2.18675381697234,0.0
0.24,0.04,3.1953120558039405,2.343906150106219,0.0
0.26,0.04,3.2648144107111494,2.4933498386910498,0.0
0.28,0.04,3.3028955036725516,2.6344950967623166,0.0
0.3,0.04,3.309697378179174,2.766784888469545,0.0
0.32,0.04,3.285773244421609,2.889697126442324,0.0
0.34,0.04,3.232076148222753,3.0027467322306376,0.0
0.36,0.04,3.1499416687217616,3.105487550687888,0.0
0.38,0.04,3.0410649266444834,3.19751411074144,0.0
0.4,0.04,2.9074722733659506,3.2784632256017,0.0
0.42,0.04,2.751488113472477,3.3480154260944466,0.0
0.44,0.04,2.57569738886877,3.405896221459713,0.0
0.46,0.04,2.3829043194667987,3.4518771826414136,0.0
0.48,0.04,2.176088053086943,3.4857768437924648,0.0
0.5,0.04,1.9583559244957651,3.507461418437587,0.0
0.52,0.04,1.7328950597583206,3.5168453274673954,0.0
0.54,0.04,1.5029230867303087,3.513891536880048,0.0
0.56,0.04,1.2716387251735983,3.498611703937538,0.0
0.58,0.04,1.0421730304537062,3.471066131159796,0.0
0.6,0.04,0.8175420530678839,3.4313635283381996,0.0
0.62,0.04,0.6006016525477371,3.379660583507692,0.0
0.64,0.04,0.39400516895997817,3.316161344570692,0.0
0.66,0.04,0.2001646088554767,3.2411164140132396,0.0
